 
****************************************
Report : timing
        -path end
        -delay max
Design : FPAddSub_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:20:10 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_1_reg[0]/CLK (DFFPOSX1)        0.00 r        infinity     infinity
pipe_2_reg[17]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[18]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[19]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[20]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[21]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[30]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[31]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[32]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[33]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[34]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[35]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[36]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[37]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[38]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[39]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[40]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[41]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[42]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[43]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[44]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[45]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[46]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[47]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[48]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[49]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[50]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[51]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[52]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[53]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
pipe_2_reg[54]/CLK (DFFPOSX1)       0.00 r        infinity     infinity
