 
****************************************
Report : timing
        -path end
        -delay max
Design : FPMult_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:12:40 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
pipe_2_reg[13]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[12]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[11]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[10]/D (DFFPOSX1)         1.86 f            1.94         0.09
pipe_2_reg[9]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[8]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[7]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[6]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[5]/D (DFFPOSX1)          1.86 f            1.94         0.09
pipe_2_reg[24]/D (DFFPOSX1)         1.85 f            1.94         0.09
pipe_2_reg[33]/D (DFFPOSX1)         1.81 f            1.94         0.13
pipe_2_reg[23]/D (DFFPOSX1)         1.78 f            1.94         0.17
pipe_2_reg[32]/D (DFFPOSX1)         0.17 f            1.94         1.78
pipe_2_reg[37]/D (DFFPOSX1)         0.13 f            1.94         1.81
pipe_2_reg[38]/D (DFFPOSX1)         0.13 f            1.94         1.81
pipe_2_reg[36]/D (DFFPOSX1)         0.13 f            1.94         1.81

1
 
****************************************
Report : timing
        -path end
        -delay max
Design : FPMult_reduced
Version: K-2015.06-SP4
Date   : Tue Jul  7 21:12:40 2020
****************************************

Operating Conditions: typical   Library: gscl45nm
Wire Load Model Mode: top

Endpoint                         Path Delay     Path Required     Slack
------------------------------------------------------------------------
result[30] (out)                    1.76 r        infinity     infinity
result[29] (out)                    1.76 r        infinity     infinity
result[28] (out)                    1.76 r        infinity     infinity
result[27] (out)                    1.76 r        infinity     infinity
result[26] (out)                    1.76 r        infinity     infinity
result[25] (out)                    1.76 r        infinity     infinity
result[24] (out)                    1.76 r        infinity     infinity
result[23] (out)                    1.76 r        infinity     infinity
result[19] (out)                    1.72 r        infinity     infinity
result[17] (out)                    1.72 r        infinity     infinity
result[16] (out)                    1.72 r        infinity     infinity
result[14] (out)                    1.72 r        infinity     infinity
result[13] (out)                    1.72 r        infinity     infinity
result[10] (out)                    1.72 r        infinity     infinity
result[9] (out)                     1.72 r        infinity     infinity
result[7] (out)                     1.72 r        infinity     infinity
result[6] (out)                     1.72 r        infinity     infinity
result[3] (out)                     1.72 r        infinity     infinity
result[2] (out)                     1.72 r        infinity     infinity
result[0] (out)                     1.72 r        infinity     infinity
result[21] (out)                    1.72 r        infinity     infinity
result[20] (out)                    1.72 r        infinity     infinity
result[18] (out)                    1.72 r        infinity     infinity
result[15] (out)                    1.72 r        infinity     infinity
result[12] (out)                    1.72 r        infinity     infinity
result[11] (out)                    1.72 r        infinity     infinity
result[8] (out)                     1.72 r        infinity     infinity
result[5] (out)                     1.72 r        infinity     infinity
result[4] (out)                     1.72 r        infinity     infinity
result[1] (out)                     1.72 r        infinity     infinity
result[22] (out)                    1.37 f        infinity     infinity
result[31] (out)                    0.10 f        infinity     infinity
flags[4] (out)                      0.10 f        infinity     infinity
flags[3] (out)                      0.10 f        infinity     infinity
flags[2] (out)                      0.10 f        infinity     infinity

1
